year,famille,"T0: social, entreprise, liberté","T1: national, front, force","T2: entreprise, travailleur, payer","T3: france, majorité, député","T4: maire, conseiller, général","T5: national, immigration, france","T6: travailleur, contre, droit","T7: communiste, gauche, parti","T8: écologie, emploi, environnement","T9: travailleur, lutte, voter","T10: alsace, région, strasbourg","T11: travailleur, voter, gauche"
1973,centre_droite,0.34566456973726145,0.004538415819521151,0.002291307709952154,0.4214043115388127,0.14100971597410214,0.0016787773239880677,0.010224176324376022,0.02272245969925074,0.018492619539460922,0.0071494261687444095,0.020767217629294357,0.004056938681341539
1973,extreme_droite,0.22513100888032817,0.045486922068983617,0.001652194881471052,0.028559564485333918,0.02195867390450896,0.01416764374859186,0.033258798874585944,0.0061699897672880585,0.01940549892934345,0.6010139894227476,0.00035582787563280186,0.0028399249659189223
1973,gauche,0.3895077243597619,0.002382355227634574,0.0037550355013122446,0.1959308584363965,0.15187746847690103,0.00228479493174003,0.045586018237059246,0.16483452913214502,0.01673248779756359,0.005181542976265263,0.013953574288944162,0.007973548930463396
1973,gauche_radicale,0.1397773373248317,0.0024483714423470353,0.0022626664174599247,0.09087998601908709,0.04413863933658979,0.0005702511209163364,0.16846085312397668,0.36603130710863513,0.008598683490693705,0.1633937982984661,0.00910521851034029,0.004332842511791666
1978,centre_droite,0.37441103837730766,0.003096040362097715,0.0014852851406184108,0.3230040501663549,0.12189013838245757,0.00285460785405887,0.011175231953453907,0.019468775236568703,0.115056234547353,0.008406021304194532,0.014878149446396573,0.004274357517006518
1978,droite_gaulliste,0.31633984340480686,0.004233056402389471,0.0029500163658887062,0.4341715145549408,0.13922371883796866,0.0026530081467981575,0.010209173256171896,0.023041265299321868,0.03842847593016363,0.005802213853291939,0.019018221216560834,0.003929416012536935
1978,ecologistes,0.11499996638094546,0.005900914635675105,0.0034726220284738538,0.04194783040861382,0.030048799210854755,0.008404566306375249,0.24844453583789625,0.04608364376077614,0.4879684544055585,0.005522526495241598,0.00038220326209676846,0.006823913453382836
1978,extreme_droite,0.6232760968554457,0.17273524257879175,0.0011154566913210689,0.05247128571478351,0.004888081482768844,0.0695964497956708,0.023171843103838585,0.010429415499761965,0.0029112442509304217,0.038366709239633215,0.0003247881926545776,0.0007132128771106059
1978,gauche,0.3881374343262066,0.0020867012879668082,0.0032421145255055552,0.17774651459277588,0.11508234454123889,0.002029457021435242,0.03730060966164082,0.1878853093391625,0.05898403635910402,0.002509048111289711,0.018761986152060105,0.0062343818433743
1978,gauche_radicale,0.07349557045073819,0.002656748829293261,0.004716382200236045,0.0783084201742307,0.03422593400598643,0.0010790429396763748,0.16443087187675431,0.2879463254960343,0.027280833819492638,0.0019685314418881293,0.00755015774711834,0.31634114311304634
