age_tranche,"T0: social, entreprise, liberté","T1: national, front, force","T2: entreprise, travailleur, payer","T3: france, majorité, député","T4: maire, conseiller, général","T5: national, immigration, france","T6: travailleur, contre, droit","T7: communiste, gauche, parti","T8: écologie, emploi, environnement","T9: travailleur, lutte, voter","T10: alsace, région, strasbourg","T11: travailleur, voter, gauche"
entre 20 et 29 ans,0.6394396989331511,0.599161532799819,0.1278860241584724,0.24533013254663177,0.3496666087744359,0.5182581778306135,2.1734553833731014,0.36643993141831516,0.6471004248234657,7.622893579242718,0.3757879252501045,9.413035237416837
entre 30 et 39 ans,1.0779424503210624,0.9843268333757283,0.30088237990976,0.6772649109028662,0.9976146874124525,0.6987126328961558,1.1787756055288803,0.9163548657490971,1.1425689271807073,1.900300157941914,1.096140853543048,2.7094172883182512
entre 40 et 49 ans,0.9670375156241676,1.3023856415567454,0.43308627893136475,0.8487372125236174,1.3171779744208023,1.1560845284504382,0.5624428284322064,0.9975823928261487,1.391160368893029,0.6644229895786263,1.1616102699265463,0.39532950244484377
entre 50 et 59 ans,1.0855178083733112,1.6301758676153848,0.2402286546354939,0.7817927814162093,1.4401941180695075,1.562878031247176,0.5483151241519961,0.8782578799151007,1.1369570311318842,0.9593948882283512,1.1303895263507593,0.2968985370270468
entre 60 et 69 ans,0.9516443139845778,4.181632835439968,0.1412316730304372,0.5280063933480602,1.1014715411744163,4.0607038828450435,0.38241623491626087,0.4890399726726267,0.9041186639246762,0.4362455130128716,0.9650887599445104,0.07685675310321474
entre 70 et 79 ans,0.8516391652506546,0.4972718403860629,0.31021752528492585,0.42454745127581184,1.6890105565197684,5.33863316040126,0.20237706341114853,0.8144269262360947,0.9547559955720551,0.015967717015429577,0.4687536922553928,0.0634960411709229
