age_tranche,"T0: social, entreprise, liberté","T1: national, front, force","T2: entreprise, travailleur, payer","T3: france, majorité, député","T4: maire, conseiller, général","T5: national, immigration, france","T6: travailleur, contre, droit","T7: communiste, gauche, parti","T8: écologie, emploi, environnement","T9: travailleur, lutte, voter","T10: alsace, région, strasbourg","T11: travailleur, voter, gauche"
entre 20 et 29 ans,0.0999548762011987,0.018967998602153778,0.0017512739341774698,0.0635351364797003,0.03646254139254997,0.03097547331596387,0.12178640409783942,0.043352455016647994,0.08473210953801727,0.1570633086798283,0.005147336601901475,0.3362710594575582
entre 30 et 39 ans,0.16850002330731517,0.031161396347136973,0.0041202897084070215,0.17539679329422206,0.10402928366848327,0.04176095128184447,0.06605097272013881,0.10841131026008229,0.1496093523953747,0.03915408593711576,0.015014335366221524,0.09679116236958124
entre 40 et 49 ans,0.15116376933962236,0.04123036556281565,0.00593069271277494,0.21980436758146116,0.13735271029169238,0.0690973476036868,0.03151566400183974,0.11802110551381383,0.18216021538565694,0.013689876688076395,0.015911099473348234,0.014122742268458596
entre 50 et 59 ans,0.16968417558556065,0.05160740782823964,0.003289696304768502,0.20246722467604733,0.15018059009830068,0.0934107532188823,0.03072403868686584,0.10390416536938861,0.14887452396305745,0.019767524485187482,0.015483454875562734,0.01060639667008005
entre 60 et 69 ans,0.14875756033071605,0.13238033724679332,0.0019340295336102524,0.13674210304006093,0.11485927067372938,0.2427018620209944,0.021428136264203757,0.057856913504413875,0.11838638753471803,0.00898847176052765,0.013219255767305158,0.0027456289220880894
entre 70 et 79 ans,0.1331251210594928,0.015742418458103202,0.004248125387675827,0.1099485007362091,0.1761266754792814,0.3190816779697343,0.01133990373728011,0.09635250871087919,0.1250169007707882,0.00032900137466640444,0.006420730617719528,0.002268331149025471
