mot,cos_1978,jacc_1978,cos_1981,jacc_1981,cos_1988,jacc_1988,cos_1993,jacc_1993,drift_moyen
conforme,0.6373,0.9474,0.7691,1.0,0.6658,1.0,0.6493,1.0,0.6804
digne,0.7744,1.0,0.7524,1.0,0.5856,0.8889,0.6087,1.0,0.6803
légal,0.615,0.9474,0.7225,0.9474,0.6562,1.0,0.726,0.9474,0.6799
soumettre,0.6181,1.0,0.7279,1.0,0.6398,1.0,0.7326,1.0,0.6796
casser,0.5339,0.9474,0.7414,1.0,0.7447,1.0,0.6977,1.0,0.6794
viser,0.6604,1.0,0.6683,1.0,0.744,0.9474,0.6437,1.0,0.6791
compagnie,0.5542,0.9474,0.7049,0.9474,0.7499,1.0,0.7064,0.9474,0.6789
relever,0.5464,1.0,0.7625,1.0,0.6315,1.0,0.7724,1.0,0.6782
drôme,0.6337,0.9474,0.7665,0.9474,0.6916,0.8889,0.6162,0.8889,0.677
impératif,0.4819,1.0,0.7472,1.0,0.7559,1.0,0.7229,1.0,0.677
pousser,0.6807,1.0,0.6652,1.0,0.7042,1.0,0.6564,1.0,0.6766
minoritaire,0.677,1.0,0.6603,1.0,0.6691,1.0,0.6971,1.0,0.6758
révolution,0.5381,0.9474,0.5857,1.0,0.8721,1.0,0.7064,1.0,0.6756
creuse,0.743,0.9474,0.628,0.9474,0.7187,1.0,0.6113,0.9474,0.6752
valence,0.604,0.9474,0.7261,0.9474,0.6514,0.9474,0.7182,0.9474,0.6749
durer,0.6778,0.9474,0.7592,1.0,0.6596,1.0,0.5978,0.9474,0.6736
mesurer,0.6503,0.9474,0.617,0.8889,0.7273,1.0,0.6955,1.0,0.6725
méthode,0.6881,1.0,0.6635,1.0,0.7125,1.0,0.6222,1.0,0.6716
haut,0.6856,1.0,0.5596,0.9474,0.5935,1.0,0.8468,1.0,0.6714
issue,0.7104,1.0,0.7596,1.0,0.5569,0.9474,0.6582,1.0,0.6713
portée,0.5859,1.0,0.8877,1.0,0.5745,1.0,0.6349,1.0,0.6707
ambitieux,0.6665,0.9474,0.8861,1.0,0.5335,1.0,0.5957,0.9474,0.6704
direct,0.6215,1.0,0.5565,1.0,0.8612,1.0,0.6398,1.0,0.6697
entretien,0.6805,1.0,0.6628,1.0,0.71,1.0,0.6217,1.0,0.6688
quotidiennement,0.671,1.0,0.6983,1.0,0.6877,1.0,0.6179,1.0,0.6687
rompre,0.8403,1.0,0.6614,1.0,0.5782,1.0,0.5893,1.0,0.6673
risquer,0.6518,1.0,0.6563,1.0,0.6811,1.0,0.6799,1.0,0.6673
proche,0.5462,1.0,0.6668,0.9474,0.7472,1.0,0.7087,1.0,0.6672
racine,0.5363,0.9474,0.7128,1.0,0.7422,1.0,0.6763,1.0,0.6669
contribution,0.6347,1.0,0.6108,1.0,0.6553,1.0,0.766,1.0,0.6667
fondre,0.6333,1.0,0.6617,1.0,0.6728,1.0,0.6986,1.0,0.6666
vérité,0.5146,1.0,0.6849,1.0,0.6934,1.0,0.7681,1.0,0.6652
sanctionner,0.7681,1.0,0.7268,1.0,0.5641,1.0,0.6001,1.0,0.6648
vital,0.5735,1.0,0.6828,1.0,0.8243,1.0,0.5773,1.0,0.6645
échapper,0.7075,1.0,0.6259,1.0,0.539,1.0,0.7827,1.0,0.6638
entrée,0.6395,0.9474,0.6351,0.9474,0.6256,1.0,0.7541,1.0,0.6636
frais,0.5147,1.0,0.7764,1.0,0.6427,0.9474,0.7186,1.0,0.6631
fournir,0.7078,1.0,0.6027,1.0,0.5746,1.0,0.7674,1.0,0.6631
résignation,0.6716,1.0,0.6729,1.0,0.6165,1.0,0.6911,1.0,0.663
intéresser,0.555,1.0,0.7559,1.0,0.7016,1.0,0.6389,1.0,0.6628
absolument,0.6336,1.0,0.6268,1.0,0.7116,1.0,0.6788,1.0,0.6627
voire,0.7342,1.0,0.5975,1.0,0.6822,1.0,0.6369,1.0,0.6627
toulon,0.6501,0.9474,0.6343,1.0,0.7684,1.0,0.5961,1.0,0.6622
donne,0.5727,0.9474,0.7753,1.0,0.6974,1.0,0.6011,1.0,0.6616
envisager,0.6425,1.0,0.7045,1.0,0.6422,1.0,0.6574,1.0,0.6616
assister,0.7931,1.0,0.5456,1.0,0.6991,1.0,0.6076,1.0,0.6613
revanche,0.6936,1.0,0.6548,1.0,0.6238,1.0,0.6698,1.0,0.6605
ensuite,0.7567,1.0,0.685,1.0,0.5333,1.0,0.6664,1.0,0.6604
abuser,0.5436,0.8235,0.7306,0.8889,0.7245,0.8889,0.6407,0.9474,0.6598
compétition,0.6558,1.0,0.5689,1.0,0.6846,1.0,0.727,1.0,0.6591
violence,0.5737,1.0,0.6513,1.0,0.6961,1.0,0.7149,1.0,0.659
normandie,0.5532,1.0,0.8996,1.0,0.557,1.0,0.6259,1.0,0.6589
puissant,0.6037,1.0,0.6119,1.0,0.7073,1.0,0.7089,1.0,0.658
associer,0.714,0.9474,0.6007,1.0,0.6197,1.0,0.6975,1.0,0.658
couleur,0.5965,1.0,0.7442,1.0,0.5907,1.0,0.6999,1.0,0.6579
carrière,0.5026,1.0,0.631,1.0,0.7497,1.0,0.7465,1.0,0.6575
celà,0.8483,1.0,0.5667,1.0,0.5026,1.0,0.7121,1.0,0.6574
aube,0.5968,0.9474,0.5382,0.9474,0.6637,0.9474,0.829,1.0,0.6569
électricité,0.725,0.9474,0.5418,0.9474,0.7861,1.0,0.5715,0.9474,0.6561
supposer,0.6487,1.0,0.7918,1.0,0.5664,1.0,0.6152,1.0,0.6555
majeur,0.5953,0.9474,0.6316,0.9474,0.6802,1.0,0.7117,0.9474,0.6547
souhait,0.6507,0.9474,0.6292,0.9474,0.6718,1.0,0.6654,1.0,0.6543
appartenir,0.7829,1.0,0.5311,1.0,0.623,1.0,0.6794,1.0,0.6541
calcul,0.5896,1.0,0.6823,0.9474,0.792,0.9474,0.5526,1.0,0.6541
discuter,0.6489,0.9474,0.658,1.0,0.6386,1.0,0.6663,1.0,0.6529
excès,0.6715,0.8889,0.6462,1.0,0.6266,1.0,0.6672,1.0,0.6529
signifier,0.8321,1.0,0.6747,1.0,0.4838,1.0,0.6205,1.0,0.6528
