mot,cos_1978,jacc_1978,cos_1981,jacc_1981,cos_1988,jacc_1988,cos_1993,jacc_1993,drift_moyen
indiquer,0.5736,0.9474,0.6174,0.8889,0.6097,1.0,0.6615,0.9474,0.6156
publicité,0.502,0.9474,0.5989,1.0,0.6917,1.0,0.6695,1.0,0.6155
durable,0.6113,0.9474,0.6677,0.9474,0.6958,1.0,0.487,1.0,0.6154
suivre,0.605,1.0,0.7051,1.0,0.566,1.0,0.5849,1.0,0.6153
processus,0.6325,0.9474,0.5137,1.0,0.5951,0.8889,0.7188,1.0,0.615
levallois,0.5466,0.9474,0.5409,0.9474,0.7631,0.9474,0.6092,0.9474,0.6149
goût,0.6001,1.0,0.6086,1.0,0.6807,1.0,0.5699,1.0,0.6149
olivier,0.6984,1.0,0.673,1.0,0.5865,1.0,0.5012,1.0,0.6148
voiture,0.5145,0.9474,0.629,1.0,0.6916,1.0,0.6241,1.0,0.6148
contraire,0.577,1.0,0.5841,1.0,0.6823,1.0,0.6151,1.0,0.6146
masse,0.4715,1.0,0.6986,1.0,0.5413,1.0,0.7454,1.0,0.6142
ardèche,0.6377,1.0,0.6043,1.0,0.5559,1.0,0.6573,0.9474,0.6138
frappe,0.543,0.8889,0.563,0.8889,0.6442,0.9474,0.705,1.0,0.6138
nommer,0.5382,1.0,0.7019,0.9474,0.6357,0.9474,0.5792,0.9474,0.6138
complexe,0.5321,0.9474,0.7023,1.0,0.6847,1.0,0.5358,1.0,0.6137
loin,0.6912,1.0,0.66,1.0,0.5766,1.0,0.5268,1.0,0.6136
renoncer,0.5483,0.9474,0.7236,1.0,0.6548,1.0,0.5264,1.0,0.6133
vosges,0.5523,1.0,0.4576,1.0,0.7107,1.0,0.7319,0.9474,0.6131
guider,0.543,0.9474,0.561,1.0,0.6817,1.0,0.666,0.9474,0.6129
bruit,0.7209,1.0,0.7029,0.75,0.5156,0.9474,0.5108,0.9474,0.6126
déclaration,0.7154,1.0,0.5692,0.9474,0.5675,1.0,0.5958,0.9474,0.612
pratiquer,0.5925,1.0,0.5186,1.0,0.5558,1.0,0.78,1.0,0.6117
conner,0.6331,0.8235,0.5465,0.8235,0.7114,0.9474,0.5556,0.9474,0.6116
cohérent,0.5676,1.0,0.645,0.9474,0.461,1.0,0.7715,0.9474,0.6113
marquer,0.6305,1.0,0.6646,1.0,0.64,1.0,0.5103,1.0,0.6113
restaurer,0.6131,0.9474,0.5784,0.9474,0.5968,1.0,0.6567,0.9474,0.6112
camille,0.5599,0.8235,0.7162,1.0,0.6294,0.9474,0.5372,0.8889,0.6107
déboucher,0.5631,1.0,0.537,1.0,0.6914,1.0,0.6501,1.0,0.6104
traiter,0.4452,1.0,0.7198,1.0,0.6192,0.9474,0.657,1.0,0.6103
manche,0.593,0.9474,0.5955,1.0,0.7013,1.0,0.5511,1.0,0.6102
répartir,0.5981,0.8889,0.6438,1.0,0.6592,0.9474,0.5395,1.0,0.6102
freiner,0.607,1.0,0.6332,1.0,0.6239,0.9474,0.5763,1.0,0.6101
relance,0.5529,1.0,0.5213,1.0,0.7185,0.9474,0.647,1.0,0.6099
juge,0.4748,0.9474,0.6143,0.8889,0.7085,1.0,0.6417,0.9474,0.6098
organiser,0.4762,1.0,0.5496,1.0,0.75,1.0,0.663,1.0,0.6097
inciter,0.6249,1.0,0.5772,1.0,0.6133,0.9474,0.6229,0.9474,0.6096
arrière,0.4884,0.9474,0.8354,1.0,0.6588,0.9474,0.4547,1.0,0.6093
gironde,0.5115,0.9474,0.6447,0.9474,0.7621,1.0,0.5177,0.8889,0.609
montreuil,0.6335,0.9474,0.6053,0.9474,0.6757,1.0,0.5215,1.0,0.609
étendre,0.4993,0.9474,0.5479,1.0,0.6695,1.0,0.7188,1.0,0.6089
vrai,0.4876,1.0,0.7482,1.0,0.6041,1.0,0.5943,1.0,0.6085
annoncer,0.6251,1.0,0.6344,1.0,0.5131,1.0,0.6602,0.9474,0.6082
pointe,0.4934,0.8235,0.7337,0.8889,0.619,1.0,0.5851,0.9474,0.6078
bref,0.5773,0.9474,0.5956,0.8889,0.6801,1.0,0.5782,1.0,0.6078
amorcer,0.7141,1.0,0.523,1.0,0.5766,1.0,0.6177,1.0,0.6078
gaulliste,0.4434,1.0,0.6184,1.0,0.5893,1.0,0.7778,0.9474,0.6072
sauver,0.5153,1.0,0.5957,0.9474,0.5718,1.0,0.7461,1.0,0.6072
orienter,0.4982,0.9474,0.669,1.0,0.6436,0.9474,0.6169,1.0,0.6069
persuader,0.6803,1.0,0.5599,1.0,0.6616,0.9474,0.5257,1.0,0.6068
chantal,0.6037,0.9474,0.5429,1.0,0.6045,0.9474,0.6758,1.0,0.6067
massif,0.6082,1.0,0.5352,1.0,0.6177,1.0,0.6656,1.0,0.6067
bord,0.5287,1.0,0.5079,0.9474,0.6649,1.0,0.7247,1.0,0.6065
pourtant,0.6556,1.0,0.6885,1.0,0.5661,0.9474,0.5154,1.0,0.6064
orne,0.5541,1.0,0.6374,0.9474,0.7384,0.9474,0.4957,1.0,0.6064
instauration,0.5702,0.9474,0.5754,1.0,0.5694,1.0,0.71,1.0,0.6062
antoine,0.5949,0.8235,0.6235,0.75,0.6579,1.0,0.5478,0.8889,0.606
provoquer,0.5045,1.0,0.5497,1.0,0.7628,1.0,0.6045,1.0,0.6054
monopole,0.5677,1.0,0.6575,1.0,0.6736,1.0,0.5225,0.9474,0.6053
intégration,0.5253,1.0,0.5289,1.0,0.7106,1.0,0.6541,1.0,0.6047
dénoncer,0.5949,1.0,0.5729,1.0,0.6385,1.0,0.6124,1.0,0.6047
exister,0.6433,1.0,0.6323,1.0,0.6161,1.0,0.5259,1.0,0.6044
emporter,0.6329,0.9474,0.599,0.9474,0.5675,1.0,0.6183,1.0,0.6044
travers,0.5383,0.9474,0.6711,1.0,0.6408,1.0,0.5671,1.0,0.6043
abandonner,0.5889,1.0,0.6318,1.0,0.6616,0.9474,0.534,1.0,0.6041
mulhouse,0.4902,1.0,0.6403,0.9474,0.6284,1.0,0.6575,0.9474,0.6041
étudier,0.4365,0.9474,0.723,1.0,0.5716,1.0,0.6847,0.9474,0.6039
humanité,0.5199,1.0,0.6046,1.0,0.6114,1.0,0.6796,1.0,0.6039
source,0.5122,1.0,0.7184,1.0,0.7553,1.0,0.4289,1.0,0.6037
craindre,0.6575,0.9474,0.5527,1.0,0.611,1.0,0.5923,0.9474,0.6034
midi,0.6208,0.8889,0.6245,0.8235,0.5326,0.9474,0.6354,0.9474,0.6033
disposer,0.4835,1.0,0.6297,1.0,0.6043,1.0,0.6953,1.0,0.6032
bout,0.5996,0.9474,0.5957,1.0,0.7214,0.9474,0.4935,0.9474,0.6026
hervé,0.611,0.8235,0.6554,0.9474,0.5528,0.9474,0.5912,0.8235,0.6026
convention,0.5467,1.0,0.4452,1.0,0.7034,1.0,0.7146,1.0,0.6025
armement,0.564,1.0,0.6232,1.0,0.5179,1.0,0.7029,1.0,0.602
utilisation,0.6427,1.0,0.6144,1.0,0.559,1.0,0.591,1.0,0.6018
finir,0.4434,1.0,0.5777,1.0,0.7312,1.0,0.6549,1.0,0.6018
affrontement,0.5476,1.0,0.6068,1.0,0.6193,0.8889,0.6322,0.8889,0.6015
réglementation,0.577,1.0,0.5858,1.0,0.6456,1.0,0.5965,1.0,0.6012
courageux,0.6074,1.0,0.6649,0.9474,0.6383,1.0,0.4929,1.0,0.6009
cellule,0.4486,0.8889,0.5846,1.0,0.7327,1.0,0.6353,0.9474,0.6003
complémentaire,0.587,1.0,0.6284,1.0,0.674,1.0,0.5108,1.0,0.6
durement,0.5005,0.9474,0.664,0.9474,0.5423,1.0,0.6933,0.8889,0.6
malheureusement,0.5258,1.0,0.6658,1.0,0.5522,1.0,0.6544,0.9474,0.5996
armée,0.5781,1.0,0.5365,0.9474,0.6646,0.8889,0.6192,1.0,0.5996
gard,0.4771,0.9474,0.6381,0.9474,0.6895,0.9474,0.5924,0.9474,0.5993
immigration,0.6538,1.0,0.5576,0.9474,0.6618,1.0,0.5237,1.0,0.5992
satisfaire,0.4813,0.9474,0.5881,1.0,0.6527,1.0,0.6737,0.9474,0.599
triste,0.5673,0.9474,0.5696,0.8889,0.6035,0.8889,0.6556,0.8889,0.599
aboutir,0.7102,1.0,0.4658,1.0,0.5193,1.0,0.7,1.0,0.5988
françaises,0.6545,0.9474,0.5164,0.9474,0.5452,1.0,0.6787,1.0,0.5987
limoges,0.4877,1.0,0.608,0.8889,0.6247,1.0,0.6728,0.9474,0.5983
avril,0.6971,0.9474,0.5798,1.0,0.5305,1.0,0.5854,1.0,0.5982
texte,0.5481,1.0,0.5706,1.0,0.6227,1.0,0.6498,1.0,0.5978
gérer,0.4267,1.0,0.5603,1.0,0.6719,1.0,0.7306,1.0,0.5974
totalement,0.543,0.9474,0.6006,0.9474,0.6402,1.0,0.6056,1.0,0.5973
vaucluse,0.4735,0.8889,0.6326,0.9474,0.6438,0.8889,0.6391,0.8889,0.5973
apte,0.6299,1.0,0.5931,1.0,0.5883,1.0,0.5759,0.9474,0.5968
considération,0.5918,1.0,0.6113,0.9474,0.6017,1.0,0.5818,1.0,0.5967
garde,0.417,0.8889,0.7623,1.0,0.6237,0.9474,0.5833,0.9474,0.5966
médical,0.5383,0.9474,0.6647,0.9474,0.5805,0.8889,0.602,0.9474,0.5964
chang,0.4865,0.9474,0.5828,1.0,0.645,1.0,0.6699,1.0,0.5961
gilles,0.6125,1.0,0.5695,1.0,0.6339,0.9474,0.5676,0.9474,0.5959
fermement,0.5771,1.0,0.6449,1.0,0.6223,1.0,0.5394,0.9474,0.5959
oeuvre,0.5657,0.8889,0.4906,0.8889,0.7458,1.0,0.5814,0.9474,0.5959
demeurer,0.6718,0.9474,0.5977,0.9474,0.5791,0.9474,0.5342,0.8889,0.5957
patronat,0.4831,1.0,0.6142,1.0,0.6603,1.0,0.6242,1.0,0.5955
jugement,0.5407,0.9474,0.6939,0.9474,0.5649,0.9474,0.5816,1.0,0.5953
geneviève,0.7405,0.9474,0.4831,1.0,0.5571,1.0,0.6,0.9474,0.5952
tendance,0.572,0.9474,0.6652,1.0,0.5686,0.9474,0.5749,1.0,0.5952
montrer,0.5639,1.0,0.6027,1.0,0.5048,1.0,0.7095,1.0,0.5952
crainte,0.6029,1.0,0.5715,1.0,0.613,1.0,0.5929,1.0,0.5951
erreur,0.5667,0.9474,0.6511,0.9474,0.614,1.0,0.5484,0.9474,0.5951
parler,0.6085,0.9474,0.6232,1.0,0.6567,1.0,0.4912,1.0,0.5949
indre,0.5999,0.8889,0.498,0.75,0.6661,0.9474,0.6151,0.8235,0.5948
bruxelle,0.5747,0.8889,0.6394,0.9474,0.5922,1.0,0.5712,0.9474,0.5944
adhésion,0.7068,1.0,0.5223,0.9474,0.4103,1.0,0.7377,1.0,0.5943
systématique,0.5821,1.0,0.4661,0.9474,0.6316,0.8889,0.697,1.0,0.5942
julien,0.4665,0.8889,0.7205,0.9474,0.6197,0.9474,0.5701,0.9474,0.5942
marque,0.5181,0.75,0.7087,0.9474,0.6735,0.75,0.4761,0.9474,0.5941
attaque,0.6276,1.0,0.5706,1.0,0.5859,1.0,0.5918,1.0,0.594
orléans,0.5811,0.9474,0.6668,0.8889,0.4345,0.9474,0.6933,0.9474,0.5939
désastreux,0.5377,1.0,0.6279,0.9474,0.5926,1.0,0.6173,1.0,0.5939
immigré,0.4663,1.0,0.6526,0.8889,0.616,1.0,0.64,1.0,0.5937
ambiguïté,0.582,0.9474,0.5324,0.9474,0.7365,1.0,0.524,1.0,0.5937
précédent,0.4915,1.0,0.6425,1.0,0.6735,0.9474,0.567,1.0,0.5936
échelon,0.4885,0.9474,0.6874,0.9474,0.6707,0.9474,0.5268,0.8889,0.5934
montée,0.6186,1.0,0.6285,1.0,0.5851,1.0,0.5392,1.0,0.5929
ressentir,0.694,1.0,0.5247,1.0,0.545,1.0,0.6077,1.0,0.5929
patron,0.4812,1.0,0.5429,1.0,0.723,1.0,0.6223,1.0,0.5924
urgence,0.5358,1.0,0.626,1.0,0.6754,1.0,0.5323,1.0,0.5924
recul,0.4128,0.8889,0.6141,1.0,0.7438,1.0,0.5988,1.0,0.5924
commencer,0.5395,0.9474,0.5814,1.0,0.6612,1.0,0.5873,1.0,0.5923
rétablir,0.4989,1.0,0.5141,0.9474,0.6448,0.9474,0.7104,1.0,0.5921
frontière,0.5541,1.0,0.5008,0.9474,0.6212,1.0,0.691,1.0,0.5918
agir,0.5385,1.0,0.59,1.0,0.5893,1.0,0.6494,1.0,0.5918
parole,0.5387,0.9474,0.5556,0.9474,0.6389,0.9474,0.6341,1.0,0.5918
financement,0.5277,1.0,0.6124,0.9474,0.6589,1.0,0.5678,1.0,0.5917
regarder,0.5906,0.9474,0.7601,1.0,0.3962,1.0,0.6197,1.0,0.5917
fort,0.6672,1.0,0.5755,1.0,0.5075,1.0,0.6161,1.0,0.5916
déterminer,0.4959,0.9474,0.5715,0.9474,0.6948,1.0,0.6037,1.0,0.5915
haute,0.5586,0.8889,0.6288,0.9474,0.5585,0.8235,0.62,0.8889,0.5915
oeil,0.5481,1.0,0.7049,1.0,0.5985,1.0,0.5141,1.0,0.5914
échéance,0.5908,0.9474,0.5958,0.8889,0.5938,1.0,0.5849,1.0,0.5913
chose,0.4913,0.9474,0.6192,1.0,0.6446,1.0,0.6089,1.0,0.591
minorité,0.4729,1.0,0.5868,1.0,0.7043,1.0,0.5998,0.9474,0.5909
régression,0.6089,0.9474,0.6728,1.0,0.484,1.0,0.598,1.0,0.5909
ferme,0.5031,1.0,0.6121,1.0,0.67,1.0,0.5778,1.0,0.5908
richard,0.5284,1.0,0.7207,0.9474,0.5552,1.0,0.5586,1.0,0.5907
contrôler,0.5008,1.0,0.5178,1.0,0.6766,1.0,0.6671,1.0,0.5906
jeter,0.6119,1.0,0.5976,1.0,0.526,1.0,0.6266,1.0,0.5905
mauvais,0.4957,1.0,0.6046,1.0,0.6953,1.0,0.5659,1.0,0.5904
résider,0.6243,1.0,0.5994,0.8889,0.4899,0.9474,0.6471,1.0,0.5902
forestier,0.5316,0.9474,0.6287,0.75,0.6148,0.8889,0.5849,0.8889,0.59
habitude,0.576,0.9474,0.7033,1.0,0.5667,1.0,0.5142,0.9474,0.59
partie,0.4817,1.0,0.6686,1.0,0.6215,1.0,0.587,1.0,0.5897
incertitude,0.4842,0.8889,0.7146,1.0,0.5208,0.9474,0.6389,0.8889,0.5896
finance,0.5568,0.9474,0.5637,0.9474,0.6385,1.0,0.5989,1.0,0.5895
vain,0.5068,0.9474,0.7012,1.0,0.6061,1.0,0.5435,0.9474,0.5894
entrer,0.5758,0.9474,0.6687,1.0,0.5603,1.0,0.5524,1.0,0.5893
corrèze,0.6196,0.8889,0.5119,0.8235,0.7101,0.8889,0.5153,0.8235,0.5892
décevoir,0.5568,1.0,0.823,1.0,0.574,1.0,0.4028,1.0,0.5892
angoisse,0.5931,0.9474,0.5616,0.9474,0.6647,0.8889,0.5369,0.9474,0.5891
résolument,0.6477,0.9474,0.5645,1.0,0.5718,1.0,0.5722,1.0,0.5891
entier,0.5258,1.0,0.6394,1.0,0.6341,1.0,0.5564,1.0,0.5889
corse,0.5202,0.9474,0.5628,0.9474,0.6582,0.9474,0.6136,1.0,0.5887
pire,0.5691,1.0,0.4964,1.0,0.702,1.0,0.5853,1.0,0.5882
lendemain,0.4337,0.8889,0.5651,0.9474,0.6268,1.0,0.727,0.8235,0.5882
rapport,0.5284,1.0,0.5272,1.0,0.5977,1.0,0.699,1.0,0.5881
conditionner,0.6791,1.0,0.6328,1.0,0.4959,1.0,0.5444,1.0,0.5881
concrètement,0.6626,1.0,0.4302,1.0,0.6662,1.0,0.5927,1.0,0.588
préférence,0.4838,0.8889,0.5728,1.0,0.6871,0.9474,0.6069,1.0,0.5877
capitaliste,0.4933,1.0,0.5281,1.0,0.5761,1.0,0.753,1.0,0.5877
urgent,0.5925,1.0,0.6603,1.0,0.5667,1.0,0.5313,0.9474,0.5877
rennes,0.5658,0.9474,0.5851,0.8889,0.584,0.9474,0.6151,0.8235,0.5875
totalité,0.5596,1.0,0.4917,1.0,0.6899,1.0,0.6085,1.0,0.5874
occasion,0.5452,1.0,0.5972,1.0,0.5269,1.0,0.6798,1.0,0.5873
capable,0.4267,1.0,0.6763,1.0,0.6489,1.0,0.5967,1.0,0.5871
course,0.6057,1.0,0.5092,1.0,0.681,0.9474,0.5523,1.0,0.587
carte,0.5768,0.9474,0.6084,0.9474,0.6319,0.9474,0.5306,1.0,0.5869
fruit,0.4593,0.8889,0.5757,1.0,0.6182,0.8889,0.6941,1.0,0.5868
caen,0.5316,0.9474,0.5628,0.9474,0.6243,0.9474,0.6287,0.8889,0.5868
exposer,0.5389,0.9474,0.5001,1.0,0.7145,1.0,0.5933,1.0,0.5867
oise,0.6075,0.9474,0.6497,1.0,0.4885,1.0,0.6008,1.0,0.5866
suite,0.4706,1.0,0.5973,1.0,0.6059,1.0,0.6725,1.0,0.5866
souvenir,0.5253,1.0,0.678,1.0,0.5818,1.0,0.5614,1.0,0.5866
simplement,0.5591,1.0,0.6056,1.0,0.5908,0.9474,0.591,1.0,0.5866
souffrir,0.5804,1.0,0.5999,0.9474,0.6229,1.0,0.5418,0.9474,0.5863
juger,0.45,0.9474,0.6527,1.0,0.5638,1.0,0.6781,1.0,0.5861
privilégier,0.5135,1.0,0.6285,1.0,0.6891,1.0,0.5114,1.0,0.5856
grandir,0.4872,1.0,0.5783,0.9474,0.7105,1.0,0.5661,1.0,0.5855
traverser,0.5798,1.0,0.5279,0.9474,0.63,1.0,0.6034,0.9474,0.5853
pensée,0.4588,0.9474,0.5321,0.8889,0.6819,1.0,0.6673,1.0,0.585
démantèlement,0.5712,0.9474,0.6239,0.8889,0.5987,1.0,0.5463,1.0,0.585
posséder,0.5128,1.0,0.5963,1.0,0.565,1.0,0.6657,1.0,0.5849
bourse,0.3862,0.8235,0.5928,1.0,0.6908,1.0,0.669,1.0,0.5847
veille,0.5033,0.9474,0.6699,1.0,0.5942,0.9474,0.5713,1.0,0.5847
constitution,0.4721,0.9474,0.6301,1.0,0.682,1.0,0.5535,1.0,0.5844
sujet,0.5894,1.0,0.6676,1.0,0.6371,0.9474,0.4433,0.9474,0.5844
admettre,0.5384,1.0,0.708,0.9474,0.6072,1.0,0.4842,1.0,0.5844
conscient,0.4826,1.0,0.6056,1.0,0.5536,1.0,0.6956,1.0,0.5843
abandon,0.5597,1.0,0.7067,1.0,0.4962,1.0,0.5742,1.0,0.5842
animer,0.571,0.8889,0.5356,0.8889,0.7298,1.0,0.5002,0.8889,0.5841
edmond,0.5637,0.8889,0.6414,0.9474,0.6006,0.9474,0.5302,1.0,0.584
extrême,0.468,1.0,0.6544,1.0,0.6172,0.9474,0.5959,0.8889,0.5839
opération,0.6349,0.8889,0.6427,0.8889,0.6863,0.9474,0.3717,0.8889,0.5839
sain,0.5762,1.0,0.5347,0.9474,0.6863,1.0,0.538,0.9474,0.5838
vienne,0.5637,0.8889,0.6513,0.8889,0.5363,0.9474,0.584,0.9474,0.5838
déclin,0.732,1.0,0.602,1.0,0.5661,1.0,0.4348,1.0,0.5837
poids,0.558,0.9474,0.5721,0.8235,0.599,1.0,0.605,0.9474,0.5835
muller,0.5134,0.9474,0.5626,0.9474,0.5687,0.8889,0.6895,0.9474,0.5835
conception,0.5654,0.9474,0.6245,1.0,0.6293,1.0,0.5134,1.0,0.5832
privilège,0.5089,1.0,0.4922,1.0,0.6823,1.0,0.6495,1.0,0.5832
référendum,0.5836,1.0,0.6362,0.9474,0.6078,0.9474,0.5045,0.9474,0.583
expulsion,0.5127,1.0,0.5788,0.9474,0.6506,1.0,0.5899,1.0,0.583
photo,0.4639,0.9474,0.5748,0.8889,0.5901,1.0,0.7029,1.0,0.5829
susceptible,0.4692,0.9474,0.5684,1.0,0.668,1.0,0.6246,1.0,0.5826
présent,0.4824,1.0,0.5693,1.0,0.6087,1.0,0.6699,1.0,0.5826
image,0.6868,1.0,0.5984,1.0,0.4773,1.0,0.566,1.0,0.5821
savez,0.5415,1.0,0.5972,1.0,0.6332,1.0,0.5563,1.0,0.5821
bénéfice,0.4897,0.9474,0.5913,1.0,0.6253,0.9474,0.6219,1.0,0.582
imprimeur,0.4878,0.9474,0.6383,0.9474,0.5924,0.9474,0.6087,1.0,0.5818
essayer,0.5947,1.0,0.5493,0.9474,0.577,1.0,0.6063,1.0,0.5818
commun,0.3826,0.8889,0.5927,1.0,0.6753,1.0,0.6766,1.0,0.5818
correspondre,0.5789,0.9474,0.6227,0.9474,0.5371,0.9474,0.5881,0.9474,0.5817
convaincre,0.5604,1.0,0.6847,1.0,0.5696,1.0,0.5114,1.0,0.5815
terrain,0.4383,0.8235,0.5265,1.0,0.6281,1.0,0.7329,1.0,0.5814
renouvellement,0.5206,1.0,0.606,1.0,0.647,1.0,0.5521,0.8889,0.5814
maximum,0.7245,1.0,0.5075,0.9474,0.6131,1.0,0.4807,0.9474,0.5814
informer,0.5723,1.0,0.5383,1.0,0.6728,1.0,0.5421,1.0,0.5814
favorable,0.6185,1.0,0.5825,1.0,0.6205,1.0,0.5043,1.0,0.5814
colette,0.5265,0.8889,0.7731,0.8889,0.5597,1.0,0.4661,0.9474,0.5813
susciter,0.6248,1.0,0.5401,1.0,0.6457,1.0,0.5146,1.0,0.5813
exigence,0.5414,1.0,0.5025,1.0,0.6816,1.0,0.5993,1.0,0.5812
reculer,0.5332,1.0,0.5309,1.0,0.5566,1.0,0.7022,1.0,0.5807
noir,0.4847,0.9474,0.5848,1.0,0.5914,1.0,0.6615,1.0,0.5806
naturellement,0.613,1.0,0.5906,1.0,0.5273,1.0,0.5912,1.0,0.5805
échelle,0.3945,0.9474,0.5257,0.9474,0.714,1.0,0.6869,1.0,0.5803
aborder,0.6,0.9474,0.5843,0.9474,0.5383,1.0,0.598,1.0,0.5802
rétablissement,0.4685,0.9474,0.5045,0.8889,0.6574,1.0,0.6896,1.0,0.58
rechercher,0.575,1.0,0.5771,1.0,0.6033,1.0,0.5643,1.0,0.5799
titre,0.5462,1.0,0.6734,1.0,0.5799,1.0,0.5169,1.0,0.5791
essonne,0.5851,0.8235,0.5792,0.9474,0.6406,0.8889,0.511,0.8889,0.579
fonder,0.4974,1.0,0.7363,1.0,0.5167,0.9474,0.5643,1.0,0.5787
raisonnable,0.4967,0.9474,0.6261,1.0,0.6511,0.9474,0.5404,1.0,0.5786
influence,0.6341,1.0,0.6012,1.0,0.605,1.0,0.4738,1.0,0.5785
sort,0.3264,0.75,0.6041,0.75,0.5652,1.0,0.8179,1.0,0.5784
option,0.4829,0.9474,0.5725,1.0,0.6231,1.0,0.6345,1.0,0.5783
plein,0.5008,0.9474,0.5781,0.8889,0.5605,1.0,0.673,1.0,0.5781
présence,0.6719,1.0,0.4568,0.9474,0.6829,1.0,0.5005,1.0,0.578
époque,0.4782,1.0,0.7377,1.0,0.4713,1.0,0.6244,1.0,0.5779
pression,0.6634,1.0,0.4885,1.0,0.5542,1.0,0.6054,1.0,0.5779
joindre,0.6168,1.0,0.5799,0.9474,0.6143,1.0,0.5007,1.0,0.5779
faure,0.4607,0.9474,0.451,0.8889,0.6329,0.9474,0.766,1.0,0.5776
passé,0.5769,1.0,0.6331,1.0,0.5047,1.0,0.5952,1.0,0.5775
vraiment,0.5009,0.9474,0.6014,1.0,0.5967,0.9474,0.6111,0.9474,0.5775
baser,0.56,1.0,0.5782,1.0,0.633,1.0,0.5366,1.0,0.5769
présidentiel,0.4673,0.8889,0.5917,0.9474,0.6255,0.8889,0.6224,0.9474,0.5767
blocage,0.6363,1.0,0.5351,0.9474,0.5532,1.0,0.5816,0.9474,0.5766
critique,0.4488,0.9474,0.5374,1.0,0.7922,1.0,0.5279,0.9474,0.5766
concevoir,0.6326,1.0,0.598,1.0,0.6289,1.0,0.4463,1.0,0.5765
arrêter,0.6906,1.0,0.5708,0.9474,0.5645,1.0,0.4799,1.0,0.5765
simone,0.501,0.9474,0.5708,0.8235,0.6054,1.0,0.6287,1.0,0.5765
prioritaire,0.6205,1.0,0.486,0.8889,0.6295,0.8889,0.5677,0.9474,0.5759
train,0.4805,0.9474,0.6018,1.0,0.574,0.9474,0.6465,1.0,0.5757
attendre,0.5935,0.8889,0.541,1.0,0.5238,1.0,0.6442,0.9474,0.5756
frapper,0.5406,0.8889,0.5627,0.9474,0.575,1.0,0.6233,1.0,0.5754
moteur,0.5108,1.0,0.6965,1.0,0.4853,1.0,0.6082,1.0,0.5752
joue,0.7381,0.9474,0.5827,0.8235,0.4702,0.9474,0.5096,0.8889,0.5751
unité,0.516,1.0,0.6471,1.0,0.6605,1.0,0.4769,1.0,0.5751
manœuvre,0.5587,1.0,0.6171,1.0,0.6927,1.0,0.4314,1.0,0.575
futur,0.5697,1.0,0.5288,1.0,0.5593,0.9474,0.6417,1.0,0.5749
destiner,0.641,1.0,0.4691,1.0,0.5464,1.0,0.6424,1.0,0.5747
verser,0.6173,1.0,0.5602,1.0,0.6364,0.9474,0.4849,0.9474,0.5747
élément,0.4324,0.8889,0.7282,1.0,0.5938,1.0,0.5435,1.0,0.5745
coûteux,0.5216,0.9474,0.6169,0.9474,0.5225,0.8889,0.636,1.0,0.5743
penser,0.6522,1.0,0.5491,1.0,0.5422,0.9474,0.5537,1.0,0.5743
fonctionnement,0.6317,1.0,0.5656,0.9474,0.444,0.9474,0.6557,1.0,0.5742
excessif,0.5496,1.0,0.6084,0.9474,0.5743,1.0,0.5638,1.0,0.574
regrouper,0.6119,1.0,0.4094,0.8889,0.6695,0.9474,0.6051,1.0,0.574
christiane,0.5356,0.8889,0.5457,0.8889,0.5606,0.9474,0.6529,0.8889,0.5737
autant,0.6103,1.0,0.6849,1.0,0.4812,1.0,0.5174,1.0,0.5735
moitié,0.4689,1.0,0.5281,1.0,0.6556,1.0,0.6409,1.0,0.5734
misère,0.506,1.0,0.6144,0.9474,0.5062,1.0,0.6668,1.0,0.5733
fabrication,0.5745,1.0,0.5987,1.0,0.4711,0.8889,0.6487,0.9474,0.5732
provence,0.4236,0.75,0.5373,0.8889,0.72,0.75,0.6079,0.75,0.5722
apparaître,0.57,0.9474,0.5615,1.0,0.5152,0.9474,0.642,1.0,0.5722
réclamer,0.5698,0.9474,0.5964,1.0,0.5358,1.0,0.5867,1.0,0.5722
imposer,0.5534,1.0,0.5639,1.0,0.6213,0.9474,0.549,1.0,0.5719
garant,0.4709,0.9474,0.6314,1.0,0.6071,0.9474,0.5775,1.0,0.5717
cantal,0.5213,1.0,0.5267,0.9474,0.5657,1.0,0.6719,1.0,0.5714
vaste,0.5014,0.9474,0.6874,1.0,0.5606,1.0,0.5355,0.9474,0.5712
eure,0.5486,1.0,0.6848,0.9474,0.4812,1.0,0.57,0.9474,0.5711
lien,0.5833,0.9474,0.4702,1.0,0.6101,0.9474,0.6205,1.0,0.571
atelier,0.4831,0.9474,0.5672,0.8889,0.5932,1.0,0.6398,1.0,0.5708
activement,0.7269,1.0,0.4914,0.9474,0.5699,0.9474,0.4948,1.0,0.5708
demander,0.4909,1.0,0.5479,1.0,0.6683,1.0,0.5764,1.0,0.5708
dépasser,0.5115,0.9474,0.6315,1.0,0.5146,1.0,0.6253,1.0,0.5707
savoie,0.5324,0.8889,0.6796,1.0,0.4993,1.0,0.5713,0.9474,0.5706
inspirer,0.5915,0.9474,0.5025,1.0,0.5768,1.0,0.6111,1.0,0.5705
communautaire,0.6082,0.8889,0.616,1.0,0.4593,0.9474,0.5985,0.9474,0.5705
réussir,0.5452,1.0,0.5542,1.0,0.5653,1.0,0.6165,1.0,0.5703
état,0.6288,0.9474,0.5267,1.0,0.5675,0.9474,0.5581,1.0,0.5702
vivant,0.5264,1.0,0.5497,1.0,0.6371,1.0,0.5674,1.0,0.5702
