profession_grp,"T0: social, entreprise, liberté","T1: national, front, force","T2: entreprise, travailleur, payer","T3: france, majorité, député","T4: maire, conseiller, général","T5: national, immigration, france","T6: travailleur, contre, droit","T7: communiste, gauche, parti","T8: écologie, emploi, environnement","T9: travailleur, lutte, voter","T10: alsace, région, strasbourg","T11: travailleur, voter, gauche"
Autres professions,1.0387466483746108,1.4947927072236162,0.5550101349976803,0.6499058113257176,0.9279855045389004,1.0625339753371366,1.273659220081755,0.9968321072285135,1.016493511329828,2.050695134970174,1.0158554072250345,2.1148501176463035
Enseignement,1.0326581433070454,0.5986120215984958,0.32379260374688484,0.7047428862092211,1.028858142128709,0.47697147240992405,1.4998555853773412,1.5765265059056028,1.2017074212730618,0.5275369284566395,1.3374635461536062,1.1137342175180505
Santé,1.51120638732729,1.016087499580182,0.2737835869105264,1.1529949860268922,1.2049156524441789,0.8275138632051954,0.5454011732281361,0.4593187914712712,1.0016864112151482,0.42552168974771426,1.3734403531730464,0.294147730079854
Ouvrier / technique,0.4665503142857848,0.294162315825847,1.0274705545055611,0.2632898092063784,0.33151933497925845,0.4250836338110312,2.7347592859928196,1.9665190793579168,0.5181339905607837,3.808943108239345,0.7288051207293897,6.531338731685347
Ingénieur,1.0729951700709093,1.7943110813502783,0.32329582107383653,0.7730601387851918,1.2107510090886826,1.3438511313375316,0.9688760744825214,0.6409531565072065,1.3703995307670394,0.977003809529861,1.0074920140486772,0.5814363430552162
Avocat,1.5066812852556992,1.382934978681515,0.16019629076264114,1.3029121351567612,1.2081156698089004,0.8715566714347059,0.3147537127553063,0.39822484424843696,0.8018972270628641,0.6589408452634906,1.1112269938496073,0.12486981150075815
Cadre,1.2829662294060227,2.085772606215435,0.1766885378721692,0.8310836170378617,1.0440964029504334,1.6857084058296021,0.3905256418512685,0.6929562407756904,1.193113235604166,1.4918764552744792,0.8804112278533988,0.09098260272421164
Agriculture,1.7420140506350927,2.496722245074256,0.23963175979140736,0.9082788422589629,0.8722820025105112,1.1370497863456341,0.750145244820632,0.47505008192854603,0.9565887204036001,0.714618650423191,0.5689737657030728,0.14610810194266363
Chef d'entreprise / direction,0.8960581087974486,3.9628195226307596,0.38856315261778196,1.0468818558127841,1.323095213565712,1.5780955081115715,0.1641493763837891,0.17261521013246914,1.3127039024478737,0.5440780450234364,0.6386288727454787,0.119900674616865
Médias,1.0793127930427677,1.8242667046876402,0.3649986734585413,0.6993529014661317,1.4958711331869439,0.79532152868237,1.2961003243604736,0.9413058589813951,1.1829765779692942,1.2739670945725274,0.9330596133872164,0.16735741171229074
Commerce,1.6079735539579048,3.229727458026015,0.2626078145710236,0.5986132873535814,0.7976451729752726,2.117231982181969,0.3925929495554511,0.28531878540981825,0.9609413661011903,3.3582622621776235,1.4065828614635059,0.2244013534569497
